model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
מחשב נייד Apple MacBook Pro 14 MKGR3HB/A MKGP3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14 אינטש,3024x1964,לא זמין,לא זמין,לא זמין,כולל,קורא טביעות אצבע,לא כולל,7600,9099,8349.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1130750,2021,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 14 M2 Pro MPHF3HB/A MPHJ3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11519,10875.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183002,מ 2023,לא זמין,M2,MacBook Pro,כולל
מחשב נייד Apple MacBook Air 13 Z12A000AU Z1270008L Z1240006T אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3495,3499,3497.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191949,מ 2023,7-Core GPU,M1,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 Z14Z000BZ Z14W000BZ אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7844,9899,8871.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149857,2022,לא זמין,M1,MacBook Pro 16,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S-16-HB Z15W-16-HB Z15Y-16-HB Z160-16-HB אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5847,6366,6106.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172315,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Air 13 Z15T-16-HB Z15X-16-HB Z15Z-16-HB Z161-16-HB אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6550,7730,7140.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172316,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 16 MK193HB/A MK1F3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7890,10715,9302.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138077,2022,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 M2 Pro MNW93HB/A MNWD3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11010,12437,11723.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1182993,מ 2023,לא זמין,M2,MacBook Pro,כולל
מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3459,4573,4016.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1099482,2021,7-Core GPU,M1,MacBook Air,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 MLXW3HB/A MLXY3HB/A MLY13HB/A MLY33HB/A אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4699,5515,5107.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166593,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 13 M2 MNEH3HB/A MNEP3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4850,5909,5379.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161874,2022,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 MK183HB/A MK1E3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16 אינטש,3456X2234,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,7450,9889,8669.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1137777,2022,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 15 M2 MQKP3HB/A MQKR3HB/A MQKU3HB/A MQKW3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,15.3 אינטש,2880X1864,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5749,6041,5895.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1197675,מ 2023,10-Core GPU,M2,MacBook Air 15 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 MLXX3HB/A MLY03HB/A MLY23HB/A MLY43HB/A אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5941,6911,6426.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166902,2022,לא זמין,M2,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S000TA Z15W000RD Z15Y000RC Z160000RC אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6537,7279,6908.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1167808,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 13 M2 MNEJ3HB/A MNEQ3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5889,6822,6355.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161800,2022,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S000T3 Z15W000R6 Z15Y000R4 Z160000R4 אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5846,6366,6106.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1168088,2022,לא זמין,M2,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 M1 Z14V000DY Z14Y000DX אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7350,10630,8990.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1151724,2022,לא זמין,M1,MacBook Pro 16,802.11ax
מחשב נייד Apple MacBook Pro 14 M2 Pro MPHE3HB/A MPHH3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,לא זמין,לא כולל,8190,9214,8702.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1182991,מ 2023,לא זמין,M2,MacBook,כולל
מחשב נייד Apple MacBook Pro 14 MKGQ3HB/A MKGT3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7899,11053,9476.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1139020,2022,לא זמין,M1,MacBook Pro,כולל
מחשב נייד Apple MacBook Pro 13 M2 Z16S000FK אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6980,7539,7259.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179817,מ 2023,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z12400072 Z1270004A Z12A000B3 אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,"לא כולל, קורא טביעות אצבע",לא כולל,4483,5850,5166.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1131434,2021,לא זמין,M1,MacBook Air,כולל
מחשב נייד Apple MacBook Pro 16 MK1H3HB/A MK1A3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11190,14798,12994.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1150185,2022,לא זמין,M1,MacBook Pro 16,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 15 M2 MQKX3HB/A MQKV3HB/A MQKQ3HB/A MQKT3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,15.3 אינטש,2880X1864,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6619,6977,6798.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1197676,מ 2023,10-Core GPU,M2,MacBook Air 15 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 14 MKGR3HB/A MKGP3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,14 אינטש,3024x1964,לא זמין,לא זמין,לא זמין,כולל,קורא טביעות אצבע,לא כולל,7600,9099,8349.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1130750,2021,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 14 M2 Pro MPHF3HB/A MPHJ3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,10232,11519,10875.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183002,מ 2023,לא זמין,M2,MacBook Pro,כולל
מחשב נייד Apple MacBook Air 13 Z12A000AU Z1270008L Z1240006T אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3495,3499,3497.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191949,מ 2023,7-Core GPU,M1,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 Z14Z000BZ Z14W000BZ אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7844,9899,8871.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1149857,2022,לא זמין,M1,MacBook Pro 16,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S-16-HB Z15W-16-HB Z15Y-16-HB Z160-16-HB אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5847,6366,6106.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172315,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Air 13 Z15T-16-HB Z15X-16-HB Z15Z-16-HB Z161-16-HB אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6550,7730,7140.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1172316,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 16 MK193HB/A MK1F3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7890,10715,9302.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138077,2022,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 M2 Pro MNW93HB/A MNWD3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11010,12437,11723.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1182993,מ 2023,לא זמין,M2,MacBook Pro,כולל
מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",8 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3459,4573,4016.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1099482,2021,7-Core GPU,M1,MacBook Air,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 MLXW3HB/A MLXY3HB/A MLY13HB/A MLY33HB/A אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4699,5515,5107.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166593,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 13 M2 MNEH3HB/A MNEP3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,4850,5909,5379.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161874,2022,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 MK183HB/A MK1E3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.1 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16 אינטש,3456X2234,LCD,לא זמין,ללא,כולל,קורא טביעות אצבע,לא כולל,7450,9889,8669.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1137777,2022,לא זמין,M1,MacBook Pro,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 15 M2 MQKP3HB/A MQKR3HB/A MQKU3HB/A MQKW3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,15.3 אינטש,2880X1864,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5749,6041,5895.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1197675,מ 2023,10-Core GPU,M2,MacBook Air 15 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 MLXX3HB/A MLY03HB/A MLY23HB/A MLY43HB/A אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5941,6911,6426.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166902,2022,לא זמין,M2,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S000TA Z15W000RD Z15Y000RC Z160000RC אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6537,7279,6908.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1167808,2022,לא זמין,M2,MacBook Air 13,כולל
מחשב נייד Apple MacBook Pro 13 M2 MNEJ3HB/A MNEQ3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,5889,6822,6355.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161800,2022,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z15S000T3 Z15W000R6 Z15Y000R4 Z160000R4 אפל,Apple,לא רלוונטי,MacOS,"1.24 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.6 אינטש,2560X1664,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5846,6366,6106.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1168088,2022,לא זמין,M2,MacBook Air 13,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Pro 16 M1 Z14V000DY Z14Y000DX אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,512 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7350,10630,8990.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1151724,2022,לא זמין,M1,MacBook Pro 16,802.11ax
מחשב נייד Apple MacBook Pro 14 M2 Pro MPHE3HB/A MPHH3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,14.2 אינטש,3024x1964,לא זמין,120 Hz,ללא,כולל,לא זמין,לא כולל,8190,9214,8702.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1182991,מ 2023,לא זמין,M2,MacBook,כולל
מחשב נייד Apple MacBook Pro 14 MKGQ3HB/A MKGT3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.6 ק""ג",16 GB,לא זמין,M1 Pro,לא זמין,לא זמין,1000 GB,SSD,לא כולל,14.2 אינטש,3024x1964,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,7899,11053,9476.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1139020,2022,לא זמין,M1,MacBook Pro,כולל
מחשב נייד Apple MacBook Pro 13 M2 Z16S000FK אפל,Apple,לא רלוונטי,MacOS,"1.4 ק""ג",16 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6980,7539,7259.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179817,מ 2023,לא זמין,M2,MacBook Pro 13 M2,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 13 Z12400072 Z1270004A Z12A000B3 אפל,Apple,לא רלוונטי,MacOS,"1.29 ק""ג",16 GB,לא זמין,לא רלוונטי,לא זמין,לא זמין,256 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LCD,60 Hz,ללא,1 מגה פיקסל,"לא כולל, קורא טביעות אצבע",לא כולל,4483,5850,5166.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1131434,2021,לא זמין,M1,MacBook Air,כולל
מחשב נייד Apple MacBook Pro 16 MK1H3HB/A MK1A3HB/A אפל,Apple,לא רלוונטי,MacOS,"2.10 ק""ג",32 GB,לא זמין,M1 Max,לא זמין,לא זמין,1000 GB,SSD,לא כולל,16.2 אינטש,3456X2234,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,11190,14798,12994.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1150185,2022,לא זמין,M1,MacBook Pro 16,"WiFi 6, 802.11ax"
מחשב נייד Apple MacBook Air 15 M2 MQKX3HB/A MQKV3HB/A MQKQ3HB/A MQKT3HB/A אפל,Apple,לא רלוונטי,MacOS,"1.51 ק""ג",8 GB,לא זמין,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,15.3 אינטש,2880X1864,LED,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6619,6977,6798.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1197676,מ 2023,10-Core GPU,M2,MacBook Air 15 M2,"WiFi 6, 802.11ax"
